ID,Title,Text,Lable,type,,,,,,,,,,,,,,,,,,,,
1,ж«бѕ… ё нбн яЁ— Џё»," »«б ж«’б гЏ —н?н” »бѕн… яЁ— Џё» Џг«ѕ Џж÷°гж?яѕ« √д ж«бѕ… «бё нб«д «бб–нд ё б« »яЁ— Џё» » «—нќ 2.1.2021 »ќн—° ЌнЋ  Џ—÷  бжЏя… ’Ќн… ќЁнЁ… »Џѕ ”г«Џе« ќ»— жЁ«… «»дне« жЌЁнѕе«° ж г  ёѕнг «б—Џ«н… «б’Ќн… бе«° жЌ«бн«р ж÷Џе« г” ё—.",0,reliable,,,,,,,,,,,,,,,,,,,,
2,«Ќ«ѕЋ… «б‘ћ«— Ён яЁ— Џё»,жЁ«… ж«бѕ… ‘«»нд ё б« «бнжг » «—нќ 2.1.2021 ќб«б ‘ћ«— Ён яЁ— Џё» ‘г«бн «бёѕ” «бгЌ б….,1,unreliable,,,,,,,,,,,,,,,,,,,,
3,«Џ ё«б «б‘нќ гћѕн «бгџ—»н,"«Џ ё«б «б√ће“… «б√гдн… Ён џ“… бб‘нќ гћѕн «бгџ—»н «б–н г“ё ё»б √н«г ’ж—… ё«∆ѕ Ёнбё «бёѕ” Ён «бЌ—” «бЋж—н «б≈н—«дн ё«”г ”бнг«дн° ж«б н Џбё  Ён ‘ж«—Џ џ“… «Ќн«Ѕ б–я—м «џ н«бе. ",1,unreliable,,,,,,,,,,,,,,,,,,,,
4,«Џ ё«б «б‘нќ гћѕн «бгџ—»н,"нЏжѕ  «бЁнѕнж «бг ѕ«жб б‘е— √нбжб гд 2020 ° жеж нжЋё √Џ ѕ«Ѕ «Ё—«ѕ гд ёж«  «б ѕќб жЌЁў «бдў«г Ён џ“… Џбм Џ«∆б… «бё’«’ бЌў… Ё—÷ ≈ћ—«Ѕ«  «б≈џб«ё жгдЏ «бЌ—я… Ён џ“… гЏ »ѕ«н…  Ё‘н «бЁн—ж”.",0,reliable,,,,,,,,,,,,,,,,,,,,
5,гдЌ  ’—нЌ бгё«г «бд»н гж”м,"ж“«—… «б”н«Ќ… ен гд гдЌ  «бгж«Ёё… Џбм «ё«г… «бЌЁб Ён гё«г «бд»н гж”м° ё«г  »«бё«Ѕ «бг”ƒжбн… Џбм ж“«—… «б«жё«Ё ж«б‘ƒжд «бѕндн…° «” д«ѕ« ббжЋ«∆ё «б н   г д‘—е«  Ён ’ЌнЁ… «бЏ—»н «бћѕнѕ",0,reliable,,,,,,,,,,,,,,,,,,,,
6, ’—нЌ ж“н—… «б”н«Ќ… »‘√д гё«г «бд»н гж”м,"«б«Џ ѕ«Ѕ Џбм «бгж«Ўднд «бгЌ Ёбнд Ён гё«г «бд»н гж”м гд ё»б »Џ÷ «бџжџ«∆ннд ”н÷— »ёЎ«Џ «б”н«Ќ… Ён ѕжб… Ёб”Ўнд жќ«’… «б”н«Ќ… «бѕндн…° жгд ё«г »е–« «бЏгб г Ў—Ёжд нЌгбжд √Ёя«—«р ўб«гн…",1,unreliable,,,,,,,,,,,,,,,,,,,,
7,«бжЁн«  »”»» яж—жд« Ён—ж” ,  «Џбд «б«—ѕд » «—нќ   30.3.2020  Џд  ”ћнб «бжЁ«… «б—«»Џ… »Ён—ж” яж—жд«.  ,1,unreliable,,,,,,,,,,,,,,,,,,,,
8,»ћежѕ ≈г«—« н….. √’Ќ«» √—«÷н ”еб «бё«Џжд »Ёб”Ўнд нЏжѕжд »Џѕ 46 Џ«г«,"ббг—… «б√жбм гд– «бЏ«г 1974° я«д »≈гя«д √’Ќ«» √—«÷н ”еб «бё«Џжд Ён «б√џж«— «б‘г«бн… »«б÷Ё… «бџ—»н… ѕќжбе«. ж ’б г”«Ќ… √—«÷н «б”еб ≈бм дЌж 1350 ѕждг«  ёЏ »гбян«  Ёб”Ўндн… ќ«’… жбяд ≈”—«∆нб √ «Ќ  ббг” жЎднд «б≈”—«∆нбннд “—«Џ е« Џбм гѕм дЌж 46 Џ«г« ѕжд «б”г«Ќ ббЁб”Ўндннд »ѕќжбе«. жЁн «б№27 гд «б‘е— «бг«÷н √Џбд  «бен∆… «бЏ«г… бб‘ƒжд «бгѕдн… «бЁб”Ўндн… ≈де ""б√жб г—… гд– «бЏ«г 1974 ”няжд »«” Ў«Џ… √’Ќ«» √—«÷н ”еб «бё«Џжд Ён «б√џж«— «б‘г«бн… »гЌ«Ёў… Ўж»«” »«бѕќжб ≈бм √—«÷нег б“—«Џ е«° ж–бя »Џѕ ≈’ѕ«— ё—«— »≈ќб«∆е« гд «бг” жЎднд ж≈Џ«ѕ… «б√—«÷н б√’Ќ«»е«"". жбг  ж÷Ќ «бен∆… «б «»Џ… бб”бЎ… «бЁб”Ўндн… ќбЁн«  е–« «б Ќжб Ён «бгжёЁ «б≈”—«∆нбн »‘√д е–е «б√—÷° жбяд « ÷Ќ б«Ќё« √д «б√—«÷н √Џнѕ  б√’Ќ«»е« »Џѕ  ѕќб гд «б≈г«—«  «бЏ—»н… «бг Ќѕ….",1,unreliable,,,,,,,,,,,,,,,,,,,,
9,жбнѕ Џ”«Ё ндЁн «бг“«Џг «б«г«—« н… »ќ’ж’ ”еб «бё«Џжд ,"жбнѕ Џ”«Ё: У≈д «б≈г«—«  бн” бе« «н Џб«ё… »«бгж÷жЏ б« гд ё—н» √ж »Џнѕ° жяб г« ж—ѕ еж «ѕЏ«Ѕ я«–» б« √”«” бе гд «б’Ќ…Ф. б«Ё «р ≈бм «бен∆… гд– дЌж ”»Џ ”дж«    «»Џ «бё÷н… Џ»— «бгЌ«яг «б«Ќ б«бн…° ж гяд  »Џѕ ”б”б… гд «бѕЏ«жн «д “«Џ ё—«— »≈“«б… «бг” жЎднд гд «—«÷н ”еб «бё«Џжд° ≈бм «д дћЌ  «б‘ƒжд «бгѕдн… √ќн—« »≈ѕќ«б «бгж«Ўднд бб”еб° жбѕм «бен∆… г« нЋ»  –бя гд жЋ«∆ё я«гб….",1,unreliable,,,,,,,,,,,,,,,,,,,,
10,дг—: ”дб«Ќё яб гд ќ—ё «бЌў— жќ—» «бџ—Ё «бЁдѕён… Ён гё«г «бд»н гж”м,"«Џбд «бд«Ўё »«”г «бѕ«ќбн… «бЁб”Ўндн…° џ”«д дг—° ’»«Ќ «бнжг «б√Ќѕ°  √де ”н г гб«Ќё… яб «б–нд –е»ж« нжг «бћгЏ… бб’б«… Ён гё«г «бд»н гж”м° жќ—ёж« «бЌў— жЌ«б… «бЎж«—∆. ж√÷«Ё дг— Ён ЌѕнЋ ≈–«Џн° √де ”  г гб«Ќё… яб «б–нд ўе—ж« »«бЁнѕнже«  жќ—»ж« 12 џ—Ё… Ёдѕён… Ён гё«г «бд»н гж”м° б√д е–е гг бя«  Џ«г…. ж√Ќ—ё Џѕѕ гд «б‘»«д √Ћ«Ћ џ—Ё Ёдѕён… Ён г”ћѕ «бд»н гж”м жгё«ге° —ѕ« Џбм ён«г Ё—ё… Ёдн… » дўнг ЌЁб гж”нён ’«ќ» жеж г« √Ћ«— —ѕжѕ ЁЏб џ«÷»… жѕЁЏ «бг∆«  б√ѕ«Ѕ ’б«… «бћгЏ… Ён «бгё«г »еѕЁ ≈Ќн«∆е.",1,unreliable,,,,,,,,,,,,,,,,,,,,
11,"Ё√б ”нЅ!... ""Ўнж— џ«÷»…""  е«ћг  Ќг«г н ”б«г «б»«»«","«дё÷ дж—” жџ—«» Џбм Ќг«г н ”б«г √Ўбёег« √ЎЁ«б »ћж«— »«»« «бЁ« ня«д Ё—«д”н” гд д«Ё–… гё—е «б—”гн »«бЁ« ня«д° »Џнѕ ’б«ж«  √ё«ге« «бЌ»— «б√Џўг б≈Ќб«б «б”б«г Ён √жя—«дн«° Ён ЌѕЋ —√м гџ—ѕжд Џбм "" ж н—"" √де ёѕ няжд д–н— ""‘ƒг ""ждћЌ  ≈Ќѕм «бЌг«г«  Ён «б≈Ёб«  гд «бдж—” »Џѕг« ќ”—  »Џ÷« гд —н‘е« Ён «бећжг° ≈б« √д «бџ—«» дћЌ Ён «бЁ я »«бЌг«г… «б√ќ—м° ё»б √д н»«ѕ— ""«бЎ«∆—«д «бге«ћг«д""  ≈бм «бЁ—«— ж«б Ќбнё »Џнѕ«.  жЌѕЋ ећжг ""«бЎнж— «бџ«÷»…"" »Џнѕ «» Џ«ѕ «б√ЎЁ«б ж«б»«»« Џд «бд«Ё–… Џё»  ≈Ўб«ё Ќг«г н «б”б«г ж√ѕ«Ѕ ’б«… гд √ћб ""≈Ќб«б «б”б«г Ён √жя—«дн«"" «б н  ‘еѕ ёб«ёб ѕ«ќбн…° жЁ”—е «б»Џ÷ Џбм √де —»г« д–н— ‘ƒг ббѕжб… «бж«ёЏ… Ён ‘—ё √ж—ж»«. ж»«ѕ— «бгџ—ѕжд бб Џбнё Џбм «бЌ«ѕЋ… жё«б √Ќѕег ѕнЁн— яндн—: еб еж д–н— ‘ƒг..  Ќг«г « ”б«г «б»«»« е«ћгег« џ—«» Ён гя«д нЏ »— —г“« бб”б«г.""  жё«б ¬ќ— ""«бећжг Џбм Ќг«г н ”б«г «б»«»«..  –ян— Ў»нЏн »√д ед«я ѕжг« гЏ«—÷нд ббѕ«Џнд бб”б«г.  -- гџ—ѕ Џбм  жн —.",0,reliable,,,,,,,,,,,,,,,,,,,,
12,Ў«∆— дж—” Ќ«жб «Ё —«” Ќг«г… »«»« «бЁ« ня«д,"Ќ х»”  √дЁ«” «бг’бнд «бг‘«—янд Ён ёѕ«” √ёнг Ён «бЁ« ня«д √жб гд √г”° ж–бя Џдѕг« √Ўбё «б»«»« »дѕня ж” «б”«ѕ” Џ‘— Ќг«г… »н÷«Ѕ гд ‘—Ё е я—г“ бб”б«г бяд ”—Џ«д г« ўе— Ў«∆— дж—” ж—«Ќ нб«Ќё «бЌг«г… «б»«»«жн… гЌ«жб«р «бЁ я »е«.  «бг‘еѕ° «бЎ—нЁ - «бгќнЁ Ён ¬д гЏ«р° бг н” џ—ё ”жм »÷Џ Ћж«д° бяде я«д ћѕн—« »«б«е г«г ≈– ≈д «бЌ»— «б√Џўг √—«ѕ яЏ«ѕ е √д нжће —”«б… ”б«г —г“н… «бм «бгƒгднд «бгЌ ‘ѕнд Ён «б”«Ќ… √г«г гё— ≈ё«г е. бяд г« √д √Ўбё «б»«»« «бЌг«г… «б»н÷«Ѕ Ќ м «дё÷ Џбне« «бдж—” «б‘—” «б–н Џбё Џбне √Ќѕ ‘ежѕ «бЏн«д г«“Ќ« ""н»ѕж √де бг н” гЏ «бм «бЏў… «б≈нг«дн… «б н я«д «б»«»« ёѕ «д ем бб ж гд ≈бё«∆е«"". ж «»Џ «бгЌ ‘ѕжд ж«б»«»« «бдж—” «бгЏ ѕн жеж нб«Ќё «бЌг«г… «бжѕнЏ… Џбм гё—»… гд «б‘—Ё… «б»«»жн…° ж дЁ” «бћгнЏ «б’Џѕ«Ѕ »Џѕ √д дћЌ  «бЌг«г… Ён «бЁ—«— гд »нд гќ«б»е гб ћ∆… Ён –Џ— «бм Ёћж… »нд √Џгѕ… «бг»дм «б√Ћ—н «б‘«её. жбг  яд  бя «бг—… «б√жбм «б н ‘еѕ  гжёЁ« Ў—нЁ« ќб«б ≈Ўб«ё «б»«»« Ќг«г… ”б«г гд ‘—Ё е° »Ќ”» г« дёб  ’ЌнЁ… ""«б—√н"" «бяжн н…° ЁЁн «бЏ«г «бг«÷н √Ўбё «бЌ»— «б√Џўг Ќг«г н ”б«г »н÷«жнд Ён «беж«Ѕ бядег« Ё«ћ√ « «бћгнЏ Џдѕг« «— ѕ « Џбм √Џё«»ег« жЏ«ѕ « г»«‘—… «бм ѕ«ќб «бд«Ё–… «б»«»жн… «б н я«д  гЁ жЌ…. жЏбё »дѕня ж” «б”«ѕ” Џ‘— Џбм –бя «б√г— ¬д–«я г«“Ќ«: ""н»ѕж √дег«  —џ»«д Ён «б»ё«Ѕ Ён гё— ≈ё«г… «б»«»«"". ",0,reliable,,,,,,,,,,,,,,,,,,,,
13,Ќёнё… ’ж—… «бећжг Џбм†ЂЌг«г н ”б«гї »«»« «бЁ« ня«д,"«бќ»— ёѕнг нЏжѕ бЏ«г 2014. ЌнЋ ё«г «?ЎЁ«б »«Ўб«ё Ќг«г н «б”б«г »ћж«— «б»«»« »Џѕ «б’б«… Ён —жг« гд «?ћб ""«б”б«г Ён «?жя—«дн«"" жя«д «бќ»— ёѕ «д ‘— Ён ≈Ў«— «б«‘«—… «?бм «б«?Ќѕ«Ћ «б”нн?… «б н ‘еѕе« «бЏ«г 2020.",0,reliable,,,,,,,,,,,,,,,,,,,,
14,ж“«—… «б”н«Ќ…  дЁн  ’—нЌ«  гд”ж»… ббж“н—… гЏ«нЏ… Ќжб ЌЁб гё«г «бд»н гж”м,"дЁ  ж“«—… «б”н«Ќ… «бЁб”Ўндн…° «бнжг «б«Ћднд° г« д”» гд  ’—нЌ«  ббж“н—… —жбм гЏ«нЏ…° Џбм гж«ёЏ «б ж«’б «б«ћ г«Џн° Ќжб «бЌЁб «б–н √ёнг Ён гё«г «бд»н гж”м »«бёѕ”.жя«д  ’ЁЌ«  Џбм гж«ёЏ «б ж«’б «б«ћ г«Џн° ёѕ д‘—   ’—нЌнд бгЏ«нЏ… жгѕн— гя »е« ћ—н” ёг’н…° «б√жб  гЋб »«” дя«—е« «Џ ѕ«Ѕ «бгж«Ўднд Џбм «бгЌ Ёбнд Ён гё«г «бд»н гж”м° ж«бЋ«дн »√д ёгн’… ’—Ќ »√д ж“«—… «б”н«Ќ…° «” ‘«—  ж“«—… «б√жё«Ё° Ќжб ≈ё«г… ЌЁб џд«∆н Ён гё«г «бд»н гж”м° ж√д «б√ќн—… бг  »ѕ √н «Џ —«÷.",0,reliable,,,,,,,,,,,,,,,,,,,,
15, ’ж—… едн… жеж нё»б нѕ ќ«гд∆н, ’ж—… нўе— Ёне« —∆н” «бгя » «б”н«”н бЌ—я… Ќг«” ≈”г«Џнб едн… жеж нё»б нѕ «бг—‘ѕ «б√Џбм ббћгеж—н… «б≈”б«гн… «б≈н—«дн… ¬н… «ббе Џбн ќ«гд∆н.,0,reliable,,,,,,,,,,,,,,,,,,,,
16,’ж—… Ё«б’ж.. ≈”г«Џнб едн… н‘—» «бќг— жнё»б нѕ Џбм ќ«гд∆м,"—ѕр« Џбм ≈Џ«ѕ… «бя« » «б”Џжѕм  —ям «б‘беж» д‘—  ’—нЌ«  гћ “√… гЋн—… ббћѕб° б√Ќѕ ён«ѕм Ќ—я… Ё Ќ  ёжб ≈д ""«бгё«жг… г‘яб… ж’ж«—нќ Ќг«” ¬– д« √яЋ— гд ≈”—«∆нб""°  ѕ«жб √Ќѕ г” ќѕгм  жн — ’ж— нд гЁ»—я нд б≈”г«Џнб едн… «бён«ѕм° —∆н” «бгя » «б”н«”м бЌ—я… Ќг«” ≈Ќѕ«ег« жеж н‘—» «бќг— ж«бЋ«дн… жеж нё»б нѕ «бг—‘ѕ «б√Џбм Ём ≈н—«д Џбм ќ«гд∆м.",1,unreliable,,,,,,,,,,,,,,,,,,,,
17,«б”Џжѕн… «бќ«—ћн… «б√гн—ян…  ж«Ёё Џбм »нЏ гЌ гб бЋб«Ћ… ¬б«Ё ёд»б… –ян… бб”Џжѕн…,"ё«б  ж“«—… «бѕЁ«Џ «б√гн—ян… («б»д «џжд) «бЋб«Ћ«Ѕ ≈д ж“«—… «бќ«—ћн… «б√гн—ян… ж«Ёё  Џбм »нЏ гЌ гб бЋб«Ћ… ¬б«Ё –ќн—… гд «бёд«»б ѕёнё… «б жћне ≈бм «б”Џжѕн… Ён ’Ёё…  ’б ёнг е« ≈бм 290 гбн«— ѕжб«—. жн√ н «б»нЏ Ён «б√н«г «б√ќн—… гд жб«н… «б—∆н” «б√гн—ян ѕжд«бѕ  —«г»° —џг √д «б—∆н” «бгд ќ» ћж »«нѕд°  Џеѕ »жёЁ г»нЏ«  «б√”бЌ… бб”Џжѕн…° √я»— г‘ — бб√”бЌ… «б√гн—ян… Ён «б‘—ё «б√ж”Ў° Ён гЌ«жб… бб÷џЎ Џбм «б—н«÷ б≈де«Ѕ Ќ—»е« Ён «бнгд. жё«б «б»д «џжд ≈д «бЌ“г… ” ‘гб 3000 –ќн—… GBU-39 –«  «бёЎ— «б’џн— (SDB I) жЌ«жн«  жгЏѕ«  ѕЏг жёЎЏ џн«— жѕЏг Ёдн. жё«б «б»д «џжд Ён »н«д: ""«б»нЏ «бгё —Ќ ”нЌ”д ёѕ—… «бггбя… «бЏ—»н… «б”Џжѕн… Џбм гж«ће… «б еѕнѕ«  «бЌ«бн… ж«бг” ё»бн… гд ќб«б “н«ѕ… гќ“жд« е« гд «б–ќ«∆— »Џнѕ… «бгѕм ж«бѕёнё… ћж-√—÷"".† ж√÷«Ё √д ""Ќћг «б–ќн—… н”гЌ »«бж’жб ≈бм «б√еѕ«Ё »ѕё… гЏ √÷—«— ћ«д»н… √ёб"". ж√ќЎ—  жя«б… «б Џ«жд «б√гдн «бѕЁ«Џн «б «»Џ… бб»д «џжд «бяждџ—” »«б’Ёё… «бгЌ гб… «бЋб«Ћ«Ѕ.†.",1,unreliable,,,,,,,,,,,,,,,,,,,,
18,≈ѕ«—…  —«г»  ж«Ёё Џбм ’Ёё«  √”бЌ… б№3 ѕжб Џ—»н….. еб  ƒѕн б џнн— «б ж«“д «бЏ”я—н »«бгдЎё…њ,"ж«Ёё  «б≈ѕ«—… «б√гн—ян… «бгд ен… жб«н е« Џбм ’Ёё«  √”бЌ… гЌ гб… »гбн«—«  «бѕжб«—« ° бЋб«Ћ ѕжб Џ—»н…° ж”Ў  ж — «б√ћж«Ѕ Ён гдЎё… «б‘—ё «б√ж”Ў. жё«б  ж“«—… «бѕЁ«Џ «б√гн—ян… «бЋб«Ћ«Ѕ° ≈д ж“«—… «бќ«—ћн… ж«Ёё  Џбм ≈гя«дн… »нЏ 3 ¬б«Ё гд «б–ќ«∆— «бгжће… Ё«∆ё… «бѕё… бб”Џжѕн…° Ён ’Ёё…  ’б ёнг е« ≈бм 290 гбнжд ѕжб«—. ж √ н «б’Ёё… Ён «б√н«г «б√ќн—… бЁ —… ѕжд«бѕ  —«г» «б—∆«”н…. жя«д «б—∆н” «бгд ќ» ћж »«нѕд  Џеѕ »жёЁ г»нЏ«  «б√”бЌ… бб”Џжѕн…° жен √я»— г‘ — бб√”бЌ… «б√гн—ян… Ён «б‘—ё «б√ж”Ў. ж»е–« «б Џеѕ нЌ«жб »«ѕнд «б÷џЎ Џбм «б—н«÷ б≈де«Ѕ «бЌ—» «бнгдн… «б н  ”»»  Ён √”ж√ √“г… ≈д”«дн… »«бЏ«бг. жё«б «б»д «џжд ≈д «б’Ёё… ” ‘гб 3 ¬б«Ё гд «бёд«»б ’џн—… «бёЎ— ""ћн »н нж-39"" (GBU-39)ю ж«бЌ«жн«  жгЏѕ«  «бѕЏг жёЎЏ «бџн«— ж«бѕЏг «бЁдн. ж√÷«Ё Ён »н«д ""«б’Ёё… «бгё —Ќ… ” Ќ”шд ёѕ—… «б”Џжѕн… Џбм гж«ће… «б еѕнѕ«  «бЌ«бн… ж«бг” ё»бн… гд ќб«б “н«ѕ… гќ“жде« гд «б–ќ«∆— √—÷-ћж «бгжће… »Џнѕ… «бгѕм"". ж «»Џ ""Ќћг жѕё… «бёд«»б ’џн—… «бёЎ— нЁ”Ќ«д «бгћ«б √г«г –ќн—… ЁЏ«б…   ”»» Ён √÷—«— ћ«д»н… √ёб""",0,reliable,,,,,,,,,,,,,,,,,,,,
